#(w-mu)    jm_3by2_m3by2     jm_3by2_3by2     jm_3by2_m1by2       jm_3by2_1by2     jm_1by2_m1by2   jm_1by2_1by2
-18.46       0.0116134      0.120213      0.00110189      0.00254178      0.000536904      0.000882074      
-18.455       0.011837      0.114415      0.00110043      0.00252683      0.000536975      0.000877445      
-18.45       0.0120673      0.10911      0.001099      0.00251204      0.000537057      0.000872869      
-18.445       0.0123043      0.104247      0.0010976      0.00249741      0.000537151      0.000868343      
-18.44       0.0125484      0.0997804      0.00109622      0.00248293      0.000537257      0.000863867      
-18.435       0.0127999      0.095672      0.00109488      0.0024686      0.000537374      0.000859441      
-18.43       0.013059      0.0918874      0.00109356      0.00245442      0.000537503      0.000855063      
-18.425       0.0133261      0.0883967      0.00109227      0.00244039      0.000537644      0.000850734      
-18.42       0.0136015      0.0851733      0.00109102      0.00242651      0.000537796      0.000846452      
-18.415       0.0138856      0.0821939      0.00108978      0.00241277      0.00053796      0.000842217      
-18.41       0.0141787      0.0794376      0.00108858      0.00239918      0.000538135      0.000838028      
-18.405       0.0144812      0.0768859      0.0010874      0.00238572      0.000538322      0.000833885      
-18.4       0.0147935      0.0745223      0.00108626      0.0023724      0.000538521      0.000829786      
-18.395       0.015116      0.0723322      0.00108514      0.00235922      0.000538731      0.000825733      
-18.39       0.0154493      0.0703023      0.00108404      0.00234618      0.000538952      0.000821723      
-18.385       0.0157937      0.0684208      0.00108298      0.00233327      0.000539185      0.000817756      
-18.38       0.0161498      0.0666772      0.00108194      0.00232049      0.000539429      0.000813832      
-18.375       0.0165181      0.0650619      0.00108093      0.00230783      0.000539684      0.000809951      
-18.37       0.0168992      0.0635663      0.00107994      0.00229531      0.000539951      0.000806111      
-18.365       0.0172937      0.0621828      0.00107898      0.00228291      0.000540229      0.000802312      
-18.36       0.0177021      0.0609045      0.00107805      0.00227064      0.000540518      0.000798553      
