#(w-mu)    yz_up    xz_up      xy_up     yz_dn    xz_dn      xy_dn
-18.775       0.0800374      0.0800374      0.0049951      0.0024145      0.0024145      0.00116587      
-18.77       0.0856945      0.0856945      0.00495272      0.00244167      0.00244167      0.00115954      
-18.765       0.0919916      0.0919916      0.00491091      0.00246935      0.00246935      0.00115327      
-18.76       0.0990292      0.0990292      0.00486968      0.00249753      0.00249753      0.00114706      
-18.755       0.106928      0.106928      0.004829      0.00252624      0.00252624      0.00114091      
-18.75       0.115836      0.115836      0.00478887      0.00255548      0.00255548      0.00113481      
-18.745       0.12593      0.12593      0.00474928      0.00258526      0.00258526      0.00112876      
-18.74       0.137433      0.137433      0.00471022      0.0026156      0.0026156      0.00112277      
-18.735       0.150619      0.150619      0.00467167      0.00264652      0.00264652      0.00111684      
-18.73       0.165832      0.165832      0.00463364      0.00267802      0.00267802      0.00111095      
-18.725       0.183509      0.183509      0.0045961      0.00271013      0.00271013      0.00110512      
-18.72       0.204212      0.204212      0.00455905      0.00274285      0.00274285      0.00109934      
-18.715       0.228669      0.228669      0.00452248      0.00277621      0.00277621      0.00109362      
-18.71       0.257843      0.257843      0.00448639      0.00281022      0.00281022      0.00108794      
-18.705       0.293022      0.293022      0.00445076      0.0028449      0.0028449      0.00108231      
-18.7       0.335963      0.335963      0.00441558      0.00288026      0.00288026      0.00107674      
-18.695       0.38911      0.38911      0.00438086      0.00291632      0.00291632      0.00107121      
-18.69       0.45594      0.45594      0.00434657      0.0029531      0.0029531      0.00106573      
-18.685       0.541524      0.541524      0.00431271      0.00299062      0.00299062      0.0010603      
-18.68       0.653478      0.653478      0.00427928      0.00302891      0.00302891      0.00105491      
-18.675       0.80363      0.80363      0.00424627      0.00306797      0.00306797      0.00104958      
-18.67       1.01107      1.01107      0.00421367      0.00310783      0.00310783      0.00104429      
-18.665       1.30801      1.30801      0.00418147      0.00314852      0.00314852      0.00103904      
-18.66       1.7516      1.7516      0.00414967      0.00319005      0.00319005      0.00103384      
-18.655       2.44897      2.44897      0.00411825      0.00323245      0.00323245      0.00102869      
-18.65       3.61118      3.61118      0.00408722      0.00327575      0.00327575      0.00102358      
-18.645       5.65794      5.65794      0.00405657      0.00331996      0.00331996      0.00101851      
-18.64       9.26938      9.26938      0.00402628      0.00336512      0.00336512      0.00101349      
-18.635       14.2074      14.2074      0.00399636      0.00341125      0.00341125      0.00100851      
-18.63       15.5566      15.5566      0.0039668      0.00345838      0.00345838      0.00100358      
-18.625       11.1641      11.1641      0.00393759      0.00350654      0.00350654      0.000998681      
-18.62       6.83808      6.83808      0.00390872      0.00355575      0.00355575      0.000993829      
-18.615       4.26924      4.26924      0.0038802      0.00360606      0.00360606      0.000989018      
-18.61       2.82902      2.82902      0.00385201      0.00365749      0.00365749      0.000984247      
-18.605       1.98463      1.98463      0.00382415      0.00371008      0.00371008      0.000979517      
-18.6       1.45927      1.45927      0.00379661      0.00376385      0.00376385      0.000974827      
-18.595       1.11419      1.11419      0.00376939      0.00381885      0.00381885      0.000970177      
-18.59       0.876888      0.876889      0.00374249      0.00387512      0.00387512      0.000965566      
-18.585       0.707376      0.707376      0.0037159      0.00393269      0.00393269      0.000960994      
-18.58       0.582385      0.582385      0.00368961      0.0039916      0.0039916      0.00095646      
-18.575       0.487736      0.487736      0.00366362      0.0040519      0.0040519      0.000951964      
-18.57       0.41443      0.41443      0.00363792      0.00411363      0.00411363      0.000947505      
-18.565       0.356548      0.356548      0.00361251      0.00417683      0.00417683      0.000943084      
-18.56       0.310077      0.310077      0.00358739      0.00424155      0.00424155      0.0009387      
-18.555       0.272222      0.272222      0.00356255      0.00430785      0.00430785      0.000934352      
-18.55       0.240991      0.240991      0.00353799      0.00437577      0.00437577      0.00093004      
-18.545       0.214933      0.214933      0.0035137      0.00444536      0.00444536      0.000925764      
-18.54       0.192972      0.192972      0.00348967      0.00451669      0.00451669      0.000921523      
-18.535       0.174298      0.174298      0.00346592      0.0045898      0.0045898      0.000917318      
-18.53       0.158291      0.158291      0.00344242      0.00466477      0.00466477      0.000913147      
-18.525       0.14447      0.14447      0.00341917      0.00474164      0.00474164      0.00090901      
-18.52       0.132457      0.132457      0.00339618      0.0048205      0.0048205      0.000904908      
-18.515       0.121953      0.121953      0.00337344      0.0049014      0.0049014      0.000900839      
-18.51       0.112718      0.112718      0.00335095      0.00498442      0.00498442      0.000896803      
-18.505       0.104558      0.104558      0.00332869      0.00506963      0.00506963      0.000892801      
-18.5       0.0973146      0.0973146      0.00330667      0.00515711      0.00515711      0.000888831      
-18.495       0.0908576      0.0908576      0.00328489      0.00524694      0.00524694      0.000884893      
-18.49       0.0850791      0.0850791      0.00326333      0.00533921      0.00533921      0.000880988      
-18.485       0.0798892      0.0798892      0.00324201      0.005434      0.005434      0.000877114      
-18.48       0.0752123      0.0752123      0.00322091      0.00553142      0.00553142      0.000873271      
-18.475       0.0709849      0.0709849      0.00320002      0.00563155      0.00563155      0.00086946      
-18.47       0.0671527      0.0671527      0.00317936      0.00573449      0.00573449      0.00086568      
-18.465       0.0636698      0.0636698      0.00315891      0.00584036      0.00584036      0.00086193      
-18.46       0.0604966      0.0604966      0.00313867      0.00594927      0.00594927      0.00085821      
-18.455       0.0575991      0.0575991      0.00311865      0.00606133      0.00606133      0.000854521      
-18.45       0.0549478      0.0549478      0.00309882      0.00617667      0.00617667      0.000850861      
-18.445       0.0525172      0.0525172      0.0030792      0.00629542      0.00629542      0.00084723      
-18.44       0.0502851      0.0502851      0.00305978      0.0064177      0.0064177      0.000843629      
-18.435       0.0482321      0.0482321      0.00304055      0.00654367      0.00654367      0.000840057      
-18.43       0.046341      0.046341      0.00302152      0.00667348      0.00667348      0.000836513      
-18.425       0.0445968      0.0445968      0.00300268      0.00680727      0.00680727      0.000832997      
-18.42       0.0429863      0.0429863      0.00298403      0.00694522      0.00694522      0.000829509      
-18.415       0.0414978      0.0414978      0.00296557      0.0070875      0.0070875      0.00082605      
-18.41       0.0401208      0.0401208      0.00294729      0.00723429      0.00723429      0.000822617      
-18.405       0.0388462      0.0388462      0.00292919      0.00738579      0.00738579      0.000819213      
-18.4       0.0376656      0.0376656      0.00291127      0.0075422      0.0075422      0.000815835      
-18.395       0.0365718      0.0365718      0.00289353      0.00770373      0.00770373      0.000812484      
-18.39       0.0355581      0.0355581      0.00287596      0.00787061      0.00787061      0.000809159      
-18.385       0.0346186      0.0346186      0.00285856      0.00804308      0.00804308      0.000805861      
-18.38       0.033748      0.033748      0.00284133      0.00822139      0.00822139      0.000802589      
-18.375       0.0329416      0.0329416      0.00282426      0.00840581      0.00840581      0.000799342      
-18.37       0.0321951      0.0321951      0.00280737      0.00859663      0.00859663      0.000796122      
-18.365       0.0315046      0.0315046      0.00279063      0.00879413      0.00879413      0.000792927      
-18.36       0.0308666      0.0308666      0.00277406      0.00899864      0.00899864      0.000789756      
-18.355       0.0302781      0.0302781      0.00275764      0.0092105      0.0092105      0.000786611      
-18.35       0.0297362      0.0297362      0.00274138      0.00943005      0.00943005      0.000783491      
-18.345       0.0292384      0.0292384      0.00272527      0.00965768      0.00965768      0.000780395      
-18.34       0.0287823      0.0287823      0.00270932      0.00989379      0.00989379      0.000777323      
